LAST NAME,FIRST NAME,EMAIL,ZIPCODE,CITY,STATE,ADDRESS,PHONE
17,11/19/08 21:56,Shannon,Davis,ltb3@jumpstartlab.com,5303557000,Campion 1108 914 E. Jefferson,Seattle,WA,98122
18,11/20/08 16:25,Nash,Okaty,qdansonlm@jumpstartlab.com,2062263000,914 E Jefferson ST,Seattle,WA,98122
24,12/2/08 18:21,Paige,Tompkins,cimoore@jumpstartlab.com,3038186000,2124 Waverly Pl N #B,Seattle,WA,98109
25,12/2/08 21:50,Maria,Brown,cyerlun@jumpstartlab.com,3609046000,36605 ne north fork ave,la center,WA,98629
144,12/12/08 14:43,Camila,Tackett,xcotty28223@jumpstartlab.com,2066694000,1231 17th Avenue East,Seattle,WA,98112
196,12/16/08 17:38,Emma,Baldwin,otandau@jumpstartlab.com,2065182000,180 Nickerson St Ste 202,Seattle,WA,98109
344,12/19/08 10:26,Laura,Carson,eanning@jumpstartlab.com,3109024000,4025 Meridian Ave N,Seattle,WA,98103
507,12/28/08 0:30,F,Tyler,juchary.holden08@jumpstartlab.com,8584496000,535 Pontius Avenue North Unit # 626,Seattle,WA,98109
541,1/1/09 23:54,Justin,Stowel,bgah.lagle@jumpstartlab.com,(253) 3447000,1604 18th Ave,Milton,WA,98354
570,1/4/09 0:00,Patrick,St.Louis,lhil@jumpstartlab.com,9162769000,280 Boyer Ave.,Walla Walla,WA,99362
571,1/4/09 1:11,Naomi,Rahimi,rfsus@jumpstartlab.com,5302205000,421 E. Alder St,Walla Walla,WA,99362
580,1/5/09 16:36,Lauren,Holland,cgw234567@jumpstartlab.com,4402816000,1452 20th Ave,Seattle,WA,98122
724,1/9/09 5:53,Shannon,Frink,trchmucker@jumpstartlab.com,2066050000,2226 Elliott ave Seattle,Seattle,WA,98121
733,1/11/09 20:17,Megan,Turcious-Wiswe,xmerrymanmax@jumpstartlab.com,5095401000,,Walla Walla,WA,99362
734,1/11/09 20:22,Kara,Feldman,rthakw2@jumpstartlab.com,5108729000,280 Boyer Ave,Walla Walla,WA,99362
735,1/11/09 20:27,Emily,Marshall,ljng11@jumpstartlab.com,6504164000,280 Boyer Ave,Walla Walla,WA,99362
736,1/11/09 20:31,Mika,Frazier,fqrraine.rudolph@jumpstartlab.com,5038914000,208 Boyer Ave.,Walla Walla,WA,99362
737,1/11/09 20:37,Alison,Greenfeld,jqeyfert@jumpstartlab.com,5056701000,280 Boyer Ave,Walla Walla,WA,99362
738,1/11/09 20:40,Katrina,Marshall,jweving@jumpstartlab.com,6518950000,280 Boyer Ave,Walla Walla,WA,99362
739,1/11/09 20:44,Zachary,Lemaitre,escanallbefree@jumpstartlab.com,9723757000,280 Boyer Ave,Walla Walla,WA,99362
740,1/11/09 20:48,Jackson,Narotzky,sbrder13@jumpstartlab.com,5095402000,280 Boyer Ave,Walla Walla,WA,99362
741,1/11/09 20:53,Zakaria,Sklare,pknnifer@jumpstartlab.com,5419512000,280 Boyer Ave,Walla Walla,WA,99362
742,1/11/09 20:56,Leah,Ball,qySKWI12@jumpstartlab.com,5095401000,280 Boyer Ave,Walla Walla,WA,99362
743,1/11/09 21:00,Kimberly,Dowling,gqs7@jumpstartlab.com,2068185000,280 Boyer Ave,Walla Walla,WA,99362
744,1/11/09 21:04,Andrew,Stockhausen,oyryan@jumpstartlab.com,5095401000,280 Boyer Ave,Walla Walla,WA,99362
